run,period,agent_count,landscape_size,agent_id,sheep_count_if_seen,best_sheep_count_if_seen,payoff,avg_period_felicity,avg_social_welfare
0,50000,4,1,0,2,2,0.19999999999999996,13.903125,693237.9037497444
0,50000,4,1,1,2,2,0.19999999999999996,13.903125,693237.9037497444
0,50000,4,1,2,2,2,0.19999999999999996,13.903125,693237.9037497444
0,50000,4,1,3,2,2,0.19999999999999996,13.903125,693237.9037497444
1,50000,4,1,0,2,2,0.19999999999999996,13.903125,693282.0606247444
1,50000,4,1,1,2,2,0.19999999999999996,13.903125,693282.0606247444
1,50000,4,1,2,2,2,0.19999999999999996,13.903125,693282.0606247444
1,50000,4,1,3,2,2,0.19999999999999996,13.903125,693282.0606247444
2,50000,4,1,0,2,2,0.19999999999999996,13.903125,693259.2281247445
2,50000,4,1,1,2,2,0.19999999999999996,13.903125,693259.2281247445
2,50000,4,1,2,2,2,0.19999999999999996,13.903125,693259.2281247445
2,50000,4,1,3,2,2,0.19999999999999996,13.903125,693259.2281247445
3,50000,4,1,0,2,2,0.19999999999999996,13.903125,693239.7281247446
3,50000,4,1,1,2,2,0.19999999999999996,13.903125,693239.7281247446
3,50000,4,1,2,2,2,0.19999999999999996,13.903125,693239.7281247446
3,50000,4,1,3,2,2,0.19999999999999996,13.903125,693239.7281247446
4,50000,4,1,0,2,2,0.19999999999999996,13.903125,693281.2512497446
4,50000,4,1,1,2,2,0.19999999999999996,13.903125,693281.2512497446
4,50000,4,1,2,2,2,0.19999999999999996,13.903125,693281.2512497446
4,50000,4,1,3,2,2,0.19999999999999996,13.903125,693281.2512497446
5,50000,4,1,0,2,2,0.19999999999999996,13.903125,693262.0937497442
5,50000,4,1,1,2,2,0.19999999999999996,13.903125,693262.0937497442
5,50000,4,1,2,2,2,0.19999999999999996,13.903125,693262.0937497442
5,50000,4,1,3,2,2,0.19999999999999996,13.903125,693262.0937497442
6,50000,4,1,0,2,2,0.19999999999999996,13.903125,693253.7793747444
6,50000,4,1,1,2,2,0.19999999999999996,13.903125,693253.7793747444
6,50000,4,1,2,2,2,0.19999999999999996,13.903125,693253.7793747444
6,50000,4,1,3,2,2,0.19999999999999996,13.903125,693253.7793747444
