run,period,agent_count,landscape_size,agent_id,sheep_count_if_seen,best_sheep_count_if_seen,payoff,avg_period_felicity,avg_social_welfare
0,50000,4,1,0,2,2,0.19999999999999996,13.903125,693131.7943747457
0,50000,4,1,1,2,2,0.19999999999999996,13.903125,693131.7943747457
0,50000,4,1,2,2,2,0.19999999999999996,13.903125,693131.7943747457
0,50000,4,1,3,2,2,0.19999999999999996,13.903125,693131.7943747457
1,50000,4,1,0,2,2,0.19999999999999996,13.903125,693154.1743747458
1,50000,4,1,1,2,2,0.19999999999999996,13.903125,693154.1743747458
1,50000,4,1,2,2,2,0.19999999999999996,13.903125,693154.1743747458
1,50000,4,1,3,2,2,0.19999999999999996,13.903125,693154.1743747458
2,50000,4,1,0,2,2,0.19999999999999996,13.903125,693198.1581247456
2,50000,4,1,1,2,2,0.19999999999999996,13.903125,693198.1581247456
2,50000,4,1,2,2,2,0.19999999999999996,13.903125,693198.1581247456
2,50000,4,1,3,2,2,0.19999999999999996,13.903125,693198.1581247456
3,50000,4,1,0,2,2,0.19999999999999996,13.903125,693192.4737497454
3,50000,4,1,1,2,2,0.19999999999999996,13.903125,693192.4737497454
3,50000,4,1,2,2,2,0.19999999999999996,13.903125,693192.4737497454
3,50000,4,1,3,2,2,0.19999999999999996,13.903125,693192.4737497454
4,50000,4,1,0,2,2,0.19999999999999996,13.903125,693161.8512497457
4,50000,4,1,1,2,2,0.19999999999999996,13.903125,693161.8512497457
4,50000,4,1,2,2,2,0.19999999999999996,13.903125,693161.8512497457
4,50000,4,1,3,2,2,0.19999999999999996,13.903125,693161.8512497457
5,50000,4,1,0,2,2,0.19999999999999996,13.903125,693197.2049997456
5,50000,4,1,1,2,2,0.19999999999999996,13.903125,693197.2049997456
5,50000,4,1,2,2,2,0.19999999999999996,13.903125,693197.2049997456
5,50000,4,1,3,2,2,0.19999999999999996,13.903125,693197.2049997456
6,50000,4,1,0,2,2,0.19999999999999996,13.903125,693166.031249746
6,50000,4,1,1,2,2,0.19999999999999996,13.903125,693166.031249746
6,50000,4,1,2,2,2,0.19999999999999996,13.903125,693166.031249746
6,50000,4,1,3,2,2,0.19999999999999996,13.903125,693166.031249746
7,50000,4,1,0,2,2,0.19999999999999996,13.903125,693085.1462497461
7,50000,4,1,1,2,2,0.19999999999999996,13.903125,693085.1462497461
7,50000,4,1,2,2,2,0.19999999999999996,13.903125,693085.1462497461
7,50000,4,1,3,2,2,0.19999999999999996,13.903125,693085.1462497461
8,50000,4,1,0,2,2,0.19999999999999996,13.903125,693215.6181247454
8,50000,4,1,1,2,2,0.19999999999999996,13.903125,693215.6181247454
8,50000,4,1,2,2,2,0.19999999999999996,13.903125,693215.6181247454
8,50000,4,1,3,2,2,0.19999999999999996,13.903125,693215.6181247454
9,50000,4,1,0,2,2,0.19999999999999996,13.903125,693207.7406247455
9,50000,4,1,1,2,2,0.19999999999999996,13.903125,693207.7406247455
9,50000,4,1,2,2,2,0.19999999999999996,13.903125,693207.7406247455
9,50000,4,1,3,2,2,0.19999999999999996,13.903125,693207.7406247455
10,50000,4,1,0,2,2,0.19999999999999996,13.903125,693215.7206247455
10,50000,4,1,1,2,2,0.19999999999999996,13.903125,693215.7206247455
10,50000,4,1,2,2,2,0.19999999999999996,13.903125,693215.7206247455
10,50000,4,1,3,2,2,0.19999999999999996,13.903125,693215.7206247455
11,50000,4,1,0,2,2,0.19999999999999996,13.903125,693241.9037497453
11,50000,4,1,1,2,2,0.19999999999999996,13.903125,693241.9037497453
11,50000,4,1,2,2,2,0.19999999999999996,13.903125,693241.9037497453
11,50000,4,1,3,2,2,0.19999999999999996,13.903125,693241.9037497453
12,50000,4,1,0,2,2,0.19999999999999996,13.903125,693204.6431247452
12,50000,4,1,1,2,2,0.19999999999999996,13.903125,693204.6431247452
12,50000,4,1,2,2,2,0.19999999999999996,13.903125,693204.6431247452
12,50000,4,1,3,2,2,0.19999999999999996,13.903125,693204.6431247452
13,50000,4,1,0,2,2,0.19999999999999996,13.903125,693204.7199997455
13,50000,4,1,1,2,2,0.19999999999999996,13.903125,693204.7199997455
13,50000,4,1,2,2,2,0.19999999999999996,13.903125,693204.7199997455
13,50000,4,1,3,2,2,0.19999999999999996,13.903125,693204.7199997455
14,50000,4,1,0,2,2,0.19999999999999996,13.903125,693201.6587497457
14,50000,4,1,1,2,2,0.19999999999999996,13.903125,693201.6587497457
14,50000,4,1,2,2,2,0.19999999999999996,13.903125,693201.6587497457
14,50000,4,1,3,2,2,0.19999999999999996,13.903125,693201.6587497457
15,50000,4,1,0,2,2,0.19999999999999996,13.903125,693234.0037497454
15,50000,4,1,1,2,2,0.19999999999999996,13.903125,693234.0037497454
15,50000,4,1,2,2,2,0.19999999999999996,13.903125,693234.0037497454
15,50000,4,1,3,2,2,0.19999999999999996,13.903125,693234.0037497454
16,50000,4,1,0,2,2,0.19999999999999996,13.903125,693228.0824997455
16,50000,4,1,1,2,2,0.19999999999999996,13.903125,693228.0824997455
16,50000,4,1,2,2,2,0.19999999999999996,13.903125,693228.0824997455
16,50000,4,1,3,2,2,0.19999999999999996,13.903125,693228.0824997455
17,50000,4,1,0,2,2,0.19999999999999996,13.903125,693177.9768747456
17,50000,4,1,1,2,2,0.19999999999999996,13.903125,693177.9768747456
17,50000,4,1,2,2,2,0.19999999999999996,13.903125,693177.9768747456
