run,period,agent_count,landscape_size,agent_id,sheep_count_if_seen,best_sheep_count_if_seen,payoff,avg_period_felicity,avg_social_welfare
20,50000,4,1,2,5,5,-0.25,13.453125,673639.4125000027
20,50000,4,1,3,5,5,-0.25,13.453125,673639.4125000027
21,50000,4,1,0,5,5,-0.25,13.453125,673625.6031250028
21,50000,4,1,1,5,5,-0.25,13.453125,673625.6031250028
21,50000,4,1,2,5,5,-0.25,13.453125,673625.6031250028
21,50000,4,1,3,5,5,-0.25,13.453125,673625.6031250028
22,50000,4,1,0,5,5,-0.25,13.453125,673649.9781250027
22,50000,4,1,1,5,5,-0.25,13.453125,673649.9781250027
22,50000,4,1,2,5,5,-0.25,13.453125,673649.9781250027
22,50000,4,1,3,5,5,-0.25,13.453125,673649.9781250027
23,50000,4,1,0,5,5,-0.25,13.453125,673637.9750000027
23,50000,4,1,1,5,5,-0.25,13.453125,673637.9750000027
23,50000,4,1,2,5,5,-0.25,13.453125,673637.9750000027
23,50000,4,1,3,5,5,-0.25,13.453125,673637.9750000027
24,50000,4,1,0,5,5,-0.25,13.453125,673623.4656250029
24,50000,4,1,1,5,5,-0.25,13.453125,673623.4656250029
24,50000,4,1,2,5,5,-0.25,13.453125,673623.4656250029
24,50000,4,1,3,5,5,-0.25,13.453125,673623.4656250029
