best_policy, fitness, final_choices
{'fine_vector': [0.19, 0.08, 0.0, 0.04, 5.17, 2.48]}, 690935.1828747602, [{'sheep_count': [2, 2, 2, 2]}, {'sheep_count': [2, 2, 2, 2]}, {'sheep_count': [2, 2, 2, 2]}, {'sheep_count': [2, 2, 2, 2]}, {'sheep_count': [2, 2, 2, 2]}],
{'fine_vector': [0.19, 0.08, 0.0, 0.04, 5.17, 2.48]}, 690938.6488747603, [{'sheep_count': [2, 2, 2, 2]}, {'sheep_count': [2, 2, 2, 2]}, {'sheep_count': [2, 2, 2, 2]}, {'sheep_count': [2, 2, 2, 2]}, {'sheep_count': [2, 2, 2, 2]}],
{'fine_vector': [0.19, 0.03, 0.0, 0.04, 5.17, 2.06]}, 691050.0244997593, [{'sheep_count': [2, 2, 2, 2]}, {'sheep_count': [2, 2, 2, 2]}, {'sheep_count': [2, 2, 2, 2]}, {'sheep_count': [2, 2, 2, 2]}, {'sheep_count': [2, 2, 2, 2]}],
{'fine_vector': [0.19, 0.01, 0.0, 0.02, 5.17, 2.06]}, 691088.2413747581, [{'sheep_count': [2, 2, 2, 2]}, {'sheep_count': [2, 2, 2, 2]}, {'sheep_count': [2, 2, 2, 2]}, {'sheep_count': [2, 2, 2, 2]}, {'sheep_count': [2, 2, 2, 2]}],
{'fine_vector': [0.19, 0.01, 0.0, 0.02, 5.17, 2.06]}, 691099.810999758, [{'sheep_count': [2, 2, 2, 2]}, {'sheep_count': [2, 2, 2, 2]}, {'sheep_count': [2, 2, 2, 2]}, {'sheep_count': [2, 2, 2, 2]}, {'sheep_count': [2, 2, 2, 2]}],
{'fine_vector': [0.15, 0.01, 0.0, 0.02, 3.83, 2.06]}, 691704.1892497547, [{'sheep_count': [2, 2, 2, 2]}, {'sheep_count': [2, 2, 2, 2]}, {'sheep_count': [2, 2, 2, 2]}, {'sheep_count': [2, 2, 2, 2]}, {'sheep_count': [2, 2, 2, 2]}],
{'fine_vector': [0.15, 0.01, 0.0, 0.02, 3.83, 2.06]}, 691727.8108747548, [{'sheep_count': [2, 2, 2, 2]}, {'sheep_count': [2, 2, 2, 2]}, {'sheep_count': [2, 2, 2, 2]}, {'sheep_count': [2, 2, 2, 2]}, {'sheep_count': [2, 2, 2, 2]}],
{'fine_vector': [0.29, 0.0, 0.0, 0.01, 3.15, 2.41]}, 691959.9809997535, [{'sheep_count': [2, 2, 2, 2]}, {'sheep_count': [2, 2, 2, 2]}, {'sheep_count': [2, 2, 2, 2]}, {'sheep_count': [2, 2, 2, 2]}, {'sheep_count': [2, 2, 2, 2]}],
{'fine_vector': [0.29, 0.0, 0.0, 0.01, 3.15, 2.41]}, 691910.3969997534, [{'sheep_count': [2, 2, 2, 2]}, {'sheep_count': [2, 2, 2, 2]}, {'sheep_count': [2, 2, 2, 2]}, {'sheep_count': [2, 2, 2, 2]}, {'sheep_count': [2, 2, 2, 2]}],
{'fine_vector': [0.29, 0.0, 0.0, 0.01, 3.15, 2.41]}, 691945.567374754, [{'sheep_count': [2, 2, 2, 2]}, {'sheep_count': [2, 2, 2, 2]}, {'sheep_count': [2, 2, 2, 2]}, {'sheep_count': [2, 2, 2, 2]}, {'sheep_count': [2, 2, 2, 2]}],
{'fine_vector': [0.29, 0.0, 0.0, 0.01, 3.15, 2.41]}, 691946.6891247537, [{'sheep_count': [2, 2, 2, 2]}, {'sheep_count': [2, 2, 2, 2]}, {'sheep_count': [2, 2, 2, 2]}, {'sheep_count': [2, 2, 2, 2]}, {'sheep_count': [2, 2, 2, 2]}],
{'fine_vector': [0.29, 0.0, 0.0, 0.01, 3.15, 2.41]}, 691926.1116247536, [{'sheep_count': [2, 2, 2, 2]}, {'sheep_count': [2, 2, 2, 2]}, {'sheep_count': [2, 2, 2, 2]}, {'sheep_count': [2, 2, 2, 2]}, {'sheep_count': [2, 2, 2, 2]}],
{'fine_vector': [0.29, 0.0, 0.0, 0.01, 3.15, 2.41]}, 691891.0319997541, [{'sheep_count': [2, 2, 2, 2]}, {'sheep_count': [2, 2, 2, 2]}, {'sheep_count': [2, 2, 2, 2]}, {'sheep_count': [2, 2, 2, 2]}, {'sheep_count': [2, 2, 2, 2]}],
